Longitude(deg),Latitude(deg),Depth(km),dVp(%),HitQuality
161.72176,-44.214163,60,-1.37899E-05,0
161.75114,-43.990329,60,-2.24530E-05,0
161.7803,-43.766484,60,-3.04230E-05,0
161.80924,-43.542632,60,-3.49908E-05,0
161.83797,-43.318775,60,-5.15818E-05,0
161.86648,-43.094917,60,-8.30715E-05,0
161.89479,-42.871062,60,-1.07417E-04,0
161.92289,-42.647214,60,-1.02946E-04,0
161.95079,-42.423376,60,-8.99771E-05,0
161.97849,-42.199551,60,-7.48992E-05,0
162.00598,-41.975743,60,-1.86462E-05,0
162.03329,-41.751956,60,1.48044E-04,0
162.06039,-41.528194,60,3.95057E-04,0
162.08731,-41.304459,60,6.16105E-04,0
162.11404,-41.080755,60,7.17251E-04,0
162.14058,-40.857086,60,6.81708E-04,0
162.16694,-40.633455,60,5.72062E-04,0
162.19312,-40.409866,60,4.68394E-04,0
162.21912,-40.186322,60,3.64488E-04,0
162.24494,-39.962827,60,2.72207E-04,0
162.27058,-39.739384,60,1.94531E-04,0
162.29606,-39.515997,60,1.35481E-04,0
162.32136,-39.29267,60,9.49769E-05,0
162.34649,-39.069405,60,6.46174E-05,0
162.37146,-38.846207,60,4.52269E-05,0
162.39627,-38.623078,60,3.11341E-05,0
162.42091,-38.400022,60,2.13171E-05,0
162.44539,-38.177043,60,1.46070E-05,0
162.46971,-37.954144,60,1.00406E-05,0
162.49387,-37.731329,60,6.86079E-06,0
162.51788,-37.508601,60,4.69304E-06,0
162.54174,-37.285963,60,3.06964E-06,0
162.56545,-37.063418,60,1.80300E-06,0
162.589,-36.840971,60,8.77600E-07,0
162.61241,-36.618625,60,2.69823E-07,0
162.63567,-36.396383,60,-7.13293E-08,0
162.65879,-36.174248,60,-1.95756E-07,0
162.68177,-35.952224,60,-2.41195E-07,0
162.7046,-35.730313,60,-2.38965E-07,0
162.7273,-35.508521,60,-1.69985E-07,0
161.10924,-50.707663,60,-7.78140E-12,0
161.14506,-50.485607,60,4.86598E-12,0
161.18057,-50.263438,60,-2.58647E-11,0
161.21577,-50.041159,60,-1.32888E-10,0
161.25065,-49.818774,60,-3.45530E-10,0
161.28523,-49.596286,60,-6.71678E-10,0
161.31951,-49.373698,60,-1.07049E-09,0
161.35349,-49.151015,60,-1.54101E-09,0
161.38719,-48.928239,60,-2.72412E-09,0
161.42059,-48.705374,60,-5.17750E-09,0
161.45371,-48.482424,60,-7.47943E-09,0
161.48655,-48.259392,60,-4.35679E-09,0
161.51912,-48.036282,60,1.61111E-08,0
161.55141,-47.813098,60,7.48393E-08,0
161.58344,-47.589842,60,1.49470E-07,0
161.6152,-47.366518,60,1.48072E-07,0
161.64671,-47.143131,60,-5.89044E-08,0
161.67795,-46.919683,60,-6.44646E-07,0
161.70895,-46.696177,60,-1.94357E-06,0
161.73969,-46.472619,60,-3.82175E-06,0
161.77019,-46.249011,60,-5.89669E-06,0
161.80045,-46.025356,60,-6.20334E-06,0
161.83046,-45.801659,60,-8.64736E-07,0
161.86025,-45.577922,60,1.38334E-05,0
161.88979,-45.35415,60,3.34530E-05,0
161.91911,-45.130345,60,4.81803E-05,0
161.94821,-44.906513,60,5.21874E-05,0
161.97707,-44.682655,60,4.39713E-05,0
162.00572,-44.458775,60,2.13231E-05,0
162.03415,-44.234878,60,-1.62658E-05,0
162.06237,-44.010967,60,-6.02697E-05,0
162.09038,-43.787045,60,-9.90851E-05,0
162.11817,-43.563115,60,-1.43304E-04,0
162.14576,-43.339182,60,-2.29570E-04,0
162.17315,-43.115249,60,-3.50275E-04,0
162.20033,-42.891319,60,-4.35128E-04,0
162.22732,-42.667397,60,-4.28050E-04,0
162.25411,-42.443485,60,-3.71719E-04,0
162.28071,-42.219586,60,-3.46960E-04,0
162.30712,-41.995706,60,-3.52781E-04,0
162.33333,-41.771847,60,-3.09965E-04,0
162.35937,-41.548012,60,-1.59567E-04,0
162.38522,-41.324206,60,7.18813E-05,0
162.41088,-41.100431,60,2.94571E-04,0
162.43637,-40.876691,60,4.26359E-04,0
162.46169,-40.652991,60,4.80644E-04,0
162.48682,-40.429332,60,4.87722E-04,0
162.51179,-40.205719,60,4.34454E-04,0
162.53658,-39.982156,60,3.41445E-04,0
162.56121,-39.758645,60,2.44183E-04,0
162.58567,-39.535191,60,1.66521E-04,0
162.60997,-39.311796,60,1.15758E-04,0
162.63411,-39.088465,60,8.16203E-05,0
162.65808,-38.8652,60,6.11593E-05,0
162.6819,-38.642006,60,4.60470E-05,0
162.70556,-38.418885,60,3.42478E-05,0
162.72906,-38.195841,60,2.52593E-05,0
162.75242,-37.972877,60,1.84202E-05,0
162.77562,-37.749998,60,1.33458E-05,0
162.79868,-37.527206,60,9.79058E-06,0
162.82158,-37.304505,60,7.05821E-06,0
162.84435,-37.081898,60,4.80529E-06,0
162.86697,-36.859388,60,2.98465E-06,0
162.88944,-36.63698,60,1.60569E-06,0
162.91178,-36.414676,60,6.83283E-07,0
162.93398,-36.192479,60,1.76041E-07,0
162.95604,-35.970394,60,-7.42755E-08,0
162.97796,-35.748423,60,-1.55994E-07,0
162.99975,-35.526571,60,-8.30129E-08,0
161.45995,-50.72998,60,-7.51513E-11,0
161.49431,-50.50783,60,-8.08437E-11,0
161.52836,-50.285567,60,-2.17351E-10,0
161.5621,-50.063195,60,-5.19650E-10,0
161.59555,-49.840718,60,-8.93621E-10,0
161.62871,-49.618138,60,-1.04238E-09,0
161.66158,-49.39546,60,-2.77215E-10,0
161.69417,-49.172686,60,2.24505E-09,0
161.72647,-48.949821,60,6.17913E-09,0
161.7585,-48.726868,60,1.28075E-08,0
161.79026,-48.503831,60,3.02637E-08,0
161.82175,-48.280712,60,7.38034E-08,0
161.85298,-48.057516,60,1.69348E-07,0
161.88394,-47.834246,60,3.15755E-07,0
161.91465,-47.610905,60,3.77086E-07,0
161.9451,-47.387498,60,1.52430E-07,0
161.97531,-47.164027,60,-4.30305E-07,0
162.00527,-46.940496,60,-1.20878E-06,0
162.03498,-46.716909,60,-1.16474E-06,0
162.06446,-46.493269,60,1.91648E-06,0
162.0937,-46.26958,60,1.11555E-05,0
162.12271,-46.045845,60,2.98353E-05,0
162.15149,-45.822069,60,6.35793E-05,0
162.18004,-45.598253,60,1.13766E-04,0
162.20837,-45.374403,60,1.66847E-04,0
162.23648,-45.150521,60,2.07442E-04,0
162.26437,-44.926611,60,2.21315E-04,0
162.29204,-44.702677,60,1.97314E-04,0
162.31951,-44.478721,60,1.28556E-04,0
162.34676,-44.254749,60,2.46002E-05,0
162.37382,-44.030763,60,-8.67411E-05,0
162.40066,-43.806767,60,-1.89375E-04,0
162.42731,-43.582764,60,-3.20688E-04,0
162.45376,-43.358757,60,-5.19561E-04,0
162.48001,-43.134752,60,-7.12404E-04,0
